VendorName,TotalPurchaseDollars,GrossProfit,TotalSalesDollars,PurchaseContribution%
DIAGEO NORTH AMERICA INC,50959796.84999999,17780038.11999826,68739834.96999826,15.830902659114892
MARTIGNETTI COMPANIES,27861690.019999936,13098427.799999904,40960117.81999984,8.655366188435893
JIM BEAM BRANDS COMPANY,24203151.05000004,7695470.109998555,31898621.1599986,7.518823700263734
PERNOD RICARD USA,24124091.560000136,8155452.609998697,32279544.169998832,7.4942634946147235
BACARDI USA INC,17624378.720000073,7380987.069999245,25005365.78999932,5.4750968643960976
CONSTELLATION BRANDS INC,15573917.900000008,8893216.329999097,24467134.229999106,4.838111482698094
BROWN-FORMAN CORP,13529433.080000108,4947178.519999663,18476611.59999977,4.202982573751974
ULTRA BEVERAGE COMPANY LLP,13210613.929999981,4592032.169999757,17802646.099999737,4.103939892236384
E & J GALLO WINERY,12289608.090000046,6264166.56999976,18553774.659999806,3.8178250585286957
M S WALKER INC,10935817.29999999,4500248.959999872,15436066.259999862,3.3972635268494895
